1236	07/12/2022 17:25
2162	07/12/2022 17:25
1286	07/12/2022 17:25
992	07/12/2022 17:25
845	07/12/2022 17:25
488	07/12/2022 17:25
513	07/12/2022 17:25
493	07/12/2022 17:25
483	07/12/2022 17:25
455	07/12/2022 17:26
437	07/12/2022 17:26
433	07/12/2022 17:26
442	07/12/2022 17:26
469	07/12/2022 17:26
460	07/12/2022 17:26
437	07/12/2022 17:26
420	07/12/2022 17:26
404	07/12/2022 17:26
392	07/12/2022 17:26
388	07/12/2022 17:26
384	07/12/2022 17:26
380	07/12/2022 17:27
376	07/12/2022 17:27
372	07/12/2022 17:27
369	07/12/2022 17:27
372	07/12/2022 17:27
369	07/12/2022 17:27
365	07/12/2022 17:27
408	08/12/2022 13:05
302	08/12/2022 13:05
94	08/12/2022 13:05
64	08/12/2022 13:05
39	08/12/2022 13:05
28	08/12/2022 13:05
21	08/12/2022 13:05
